Column,Non_Missing_Count,Total_Rows,Missing_Count,Percentage_Complete
matchname,502,502,0,100.0
Li,502,502,0,100.0
Na,502,502,0,100.0
Mg,502,502,0,100.0
Al,502,502,0,100.0
Si,502,502,0,100.0
P,502,502,0,100.0
K,502,502,0,100.0
Ca,502,502,0,100.0
Ti,502,502,0,100.0
Cr,502,502,0,100.0
Mn,502,502,0,100.0
Fe,502,502,0,100.0
Co,502,502,0,100.0
Ni,502,502,0,100.0
Cu,502,502,0,100.0
Zn,502,502,0,100.0
Ga,502,502,0,100.0
As,502,502,0,100.0
Rb,502,502,0,100.0
Sr,502,502,0,100.0
Y,502,502,0,100.0
Zr,502,502,0,100.0
Mo,502,502,0,100.0
Cd,502,502,0,100.0
Sn,502,502,0,100.0
Cs,502,502,0,100.0
Ba,502,502,0,100.0
La,502,502,0,100.0
Ce,502,502,0,100.0
Pr,502,502,0,100.0
Nd,502,502,0,100.0
Sm,502,502,0,100.0
Eu,502,502,0,100.0
Gd,502,502,0,100.0
Tb,502,502,0,100.0
Dy,502,502,0,100.0
Er,502,502,0,100.0
Yb,502,502,0,100.0
W,502,502,0,100.0
Pb,502,502,0,100.0
Bi,502,502,0,100.0
X18O,502,502,0,100.0
X13C,502,502,0,100.0
D2H,502,502,0,100.0
dS,502,502,0,100.0
P1,502,502,0,100.0
P2,502,502,0,100.0
P3,502,502,0,100.0
P4,502,502,0,100.0
P5,502,502,0,100.0
P6,502,502,0,100.0
P7,502,502,0,100.0
P8,502,502,0,100.0
P9,502,502,0,100.0
P10,502,502,0,100.0
P11,502,502,0,100.0
P12,502,502,0,100.0
P13,502,502,0,100.0
P14,502,502,0,100.0
P15,502,502,0,100.0
P16,502,502,0,100.0
P17,502,502,0,100.0
P18,502,502,0,100.0
P19,502,502,0,100.0
P20,502,502,0,100.0
P21,502,502,0,100.0
P22,502,502,0,100.0
P23,502,502,0,100.0
P24,502,502,0,100.0
P25,502,502,0,100.0
P26,502,502,0,100.0
P27,502,502,0,100.0
P28,502,502,0,100.0
P29,502,502,0,100.0
P30,502,502,0,100.0
P31,502,502,0,100.0
P32,502,502,0,100.0
P33,502,502,0,100.0
P34,502,502,0,100.0
P35,502,502,0,100.0
P36,502,502,0,100.0
P37,502,502,0,100.0
P38,502,502,0,100.0
P39,502,502,0,100.0
P40,502,502,0,100.0
P41,502,502,0,100.0
P42,502,502,0,100.0
P43,502,502,0,100.0
P44,502,502,0,100.0
P45,502,502,0,100.0
P46,502,502,0,100.0
P47,502,502,0,100.0
P48,502,502,0,100.0
P49,502,502,0,100.0
P50,502,502,0,100.0
P51,502,502,0,100.0
P52,502,502,0,100.0
P53,502,502,0,100.0
P54,502,502,0,100.0
P55,502,502,0,100.0
P56,502,502,0,100.0
P57,502,502,0,100.0
P58,502,502,0,100.0
P59,502,502,0,100.0
P60,502,502,0,100.0
P61,502,502,0,100.0
P62,502,502,0,100.0
P63,502,502,0,100.0
P64,502,502,0,100.0
P65,502,502,0,100.0
P66,502,502,0,100.0
P67,502,502,0,100.0
